exato,match,sku,titulo,departamento,categoria,preco,preco_oferta,meta_fabricante,cor,meta_tamanho,mpn,gtin,meta_peso,meta_volume,meta_genero,match_match,match_sku,match_titulo,match_departamento,match_categoria,match_preco,match_preco_oferta,match_meta_fabricante,match_cor,match_meta_tamanho,match_mpn,match_gtin,match_meta_peso,match_meta_volume,match_meta_genero
S,27589,025-2700-274,"Chuteira Puma Universal IT - Cor: Amarelo+Preto",Futebol,Chuteiras,159.9,159.9,Puma,AMARELO/PRETO,,,,0,0,,27589,8038692U,"Chuteira de futsal Puma Universal IT - Cor: AMARELO/PRETO",Calcados,Futebol,149.9,142.41,Puma,AMARELO/PRETO,,,,0,0,
S,27598,132-0780-028,"Tênis Adidas LK Trainer 5 Syn K Infantil - Cor: Branco+Preto",Infantil,Tênis,0,0,Adidas,Branco/Preto,,,,0,0,,27598,80298951,"Tênis Adidas Lk Trainer 5 Syn K - Infantil - Cor: Branco/Preto",Calcados,Casual,139.9,132.91,Adidas,Branco/Preto,,,,0,0,
S,27691,132-2828-451,"Tênis Adidas Predator CF Infantil - Cor: Preto+Verde Limão",Infantil,Tênis,0,0,Adidas,PRETO/VERDE,,,,0,0,,27691,81335934,"Tênis Adidas Predator CF Fw13 - Infantil - Cor: Preto/Verde",Calcados,Casual,119.9,113.91,Adidas,PRETO/VERDE,,,,0,0,
S,27742,004-0314-008-01,"Boné Nike Heritage Washed 86 - Cor: Azul Royal",Casual,Bonés,0,0,Nike,Azul,,,,0,0,,27742,81026804,"Boné Nike Heritage 86 Washed - Adulto - Cor: Azul",Acessorios,Casual,59.9,56.91,Nike,Azul,,,,0,0,
S,27746,073-5839-014,"Camisa Adidas Campeon 13 - Cor: Branco",Futebol,Uniformes,79.9,79.9,Adidas,Prata+Azul,,,,0,0,,27746,80260701,"Camisa Adidas Campeon 13 - Masculina - Cor: BRANCO",Vestuario,Futebol,79.9,75.91,Adidas,Prata+Azul,,,,0,0,M
S,27755,123-3211-040,"Camiseta Nike Poly Crew - Cor: Chumbo","Tennis e Squash",Camisetas,0,0,Nike,"Azul escuro",,,,0,0,,27755,80063805,"Camiseta Nike Poly Crew - Masculina - Cor: AZUL ESCURO",Vestuario,Tennis,89.9,85.41,Nike,"Azul escuro",,,,0,0,M
S,27764,004-0914-388,"Chuteira Nike Mercurial Vortex CR7 TR Infantil - Cor: Laranja+Branco",Infantil,Chuteiras,94.9,94.9,Nike,Branco/Laranja,,,,0,0,,27764,80462338,"Chuteira Society Nike Mercurial Vortex Cr Tf - Infantil - Cor: BRANCO/LARANJA",Calcados,Futebol,129.9,123.41,Nike,Branco/Laranja,,,,0,0,
S,27771,004-6520-198,"Sandália Nike Sunray Adjust 4 GGP Infantil - Cor: Roxo",Infantil,Sandálias,0,0,Nike,Roxo,,,,0,0,,27771,80268718,"Sandália Nike Sunray Adjust 4 - Infantil - Cor: ROXO",Calcados,Aventura,69.9,66.41,Nike,Roxo,,,,0,0,
N,27778,132-2794-066,"Tênis Adidas F50 Adizero Messi Crib Infantil - Cor: Azul+Vermelho",Infantil,Tênis,0,0,Adidas,Rosa/Roxo,,,,0,0,,88993,8251142R,"Tênis Adidas F50 Adizero EL SS14 - Infantil - Cor: Azul/Branco",Calcados,Casual,69.9,66.41,,Azul/Branco,NULL,,,0,0,NULL
N,27779,132-4359-174,"Tênis Adidas Kanadia 5 - Cor: Cinza+Vermelho",Running,Tênis,229.9,229.9,Adidas,"Azul Esc/Roxo",,,,0,0,,180711,81777583,"Tênis Adidas Kanadia 6 - Masculino - Cor: Cinza Escuro",Calcados,Aventura,249.9,237.41,,"Cinza Escuro",NULL,,,0,0,M
N,27792,132-1671-180,"Top Adidas Print Gráfica Workout - Cor: Grafite+Preto","Fitness e Musculação",Tops,0,0,Adidas,"Cinza Escuro",,,,0,0,,31852,81464302,"Top Adidas Cross Vida Workout - Feminino - Cor: Preto",Vestuario,Training,54.9,52.16,Adidas,Chumbo+Amarelo,,,,0,0,F
N,27995,132-0996-028,"Bermuda Adidas Barricade - Cor: Branco+Preto","Tennis e Squash",Bermudas,0,0,Adidas,Prata+Azul,,,,0,0,,181463,82445051,"Bermuda Adidas Ásia 2 - Masculina - Cor: Branco/Preto",Vestuario,Basquete,0,0,,Branco/Preto,NULL,,,0,0,NULL
N,28009,073-2198-012,"Bermuda Adidas Chelsea Essentials - Cor: Marinho","Fitness e Musculação",Bermudas,0,0,Adidas,"Azul escuro",,,,0,0,,181059,80141802,"Bermuda Adidas Chelsea 3S - Masculina - Cor: Preto",Vestuario,Casual,89.9,85.41,,Preto,NULL,,,0,0,NULL
S,28087,004-2393-777,"Tênis Nike Air Pegasus+ 30 - Cor: Vermelho+Marinho",Running,"Tênis Performance",0,0,Nike,Vermelho/Branco,,,,0,0,,28087,8097563I,"Tênis Nike Air Pegasus+ 30 - Masculino - Cor: Vermelho/Branco",Calcados,"Running Performance",0,0,Nike,Vermelho/Branco,,,,0,0,M
S,28104,025-1447-338,"Tênis Puma Villian S Zebra - Cor: Pink",Casual,Tênis,0,0,Puma,Rosa,,,,0,0,,28104,812877EZ,"Tênis Puma Villian S Zebra - Feminino - Cor: Rosa",Calcados,Casual,0,0,Puma,Rosa,,,,0,0,F
N,28162,025-4283-004,"Bermuda Puma Cargo - Cor: Bege",Casual,Bermudas,0,0,Puma,Marrom,,,,0,0,,31325,80491686,"Bermuda Puma Cargo 824279 - Masculina - Cor: VERDE ESCURO",Vestuario,Casual,79.9,75.91,Puma,"VERDE ESCURO",,,,0,0,M
N,28169,132-2016-811,"Camisa Adidas Fluminense I Goleiro 13/14 s/nº - Cor: Marrom+Verde",Futebol,"Camisas de Time",0,0,Adidas,"Cinza Esc/Verde Cla",,,,0,0,,31688,801622OC,"Camisa Adidas Fluminense I s/nº 2013 - Masculina - Cor: VINHO/VERDE",Vestuario,Futebol,149.9,142.41,Adidas,NULL,,NULL,NULL,0,0,M
N,28175,132-1825-028,"Camiseta Adidas Response - Cor: Branco+Preto","Tennis e Squash",Camisetas,89.9,89.9,Adidas,Prata+Azul,,,,0,0,,83471,82524351,"Camiseta Adidas Response Ss14 - Feminina - Cor: Branco/Preto",Vestuario,Tennis,89.9,85.41,,Branco/Preto,NULL,,,0,0,NULL
N,28185,004-2236-026,"Camiseta Nike Speed Legend - Cor: Preto+Branco","Fitness e Musculação",Camisetas,0,0,Nike,Chumbo+Amarelo,,,,0,0,,28183,81040701,"Camiseta Nike Speed Legend SS Graphic - Masculina - Cor: Branco",Vestuario,Training,99.9,94.91,Nike,Prata+Azul,,,,0,0,M
S,28222,004-1315-152-01,"Minibola Nike Skills PL",Futebol,BOLAS,0,0,Nike,Branco/Roxo,,,,0,0,,28222,81032644,"Mini Bola de Futebol de Campo Nike Skills PL – Infantil - Cor: Branco/Roxo",Acessorios,Futebol,24.9,23.66,Nike,Branco/Roxo,,,,0,0,
N,28240,132-0030-078,"Tênis Adidas adiPower Barricade - Cor: Branco+Amarelo","Tennis e Squash",Tênis,399.9,399.9,Adidas,"Branco/Verde Cla",,,,0,0,,28238,78511251,"Tênis Adidas Adipower Barricade - Feminino - Cor: BRANCO/PRETO",Calcados,Tennis,259.9,246.91,Adidas,Branco/Preto,,,,0,0,F
S,28260,025-1429-050,"Tênis Puma Zanthem S Lite - Cor: Preto+Laranja",Casual,Tênis,0,0,Puma,Chumbo+Amarelo,,,,0,0,,28260,81494302,"Tênis Puma Zanthem S Lite – Masculino - Cor: Preto",Calcados,Casual,0,0,Puma,Chumbo+Amarelo,,,,0,0,M
N,28366,124-9010-010-26,"Bicicleta Caloi 300 Sport - Aro 26",Bike,Bicicletas,764.15,764.15,Caloi,"Azul escuro",,7693.19003,7891473015645,0,0,,40458,79436702,"Bicicleta Caloi SK Sport - Aro 26 - 2012 - Cor: Preto",Equipamentos,Bike,1099.9,1044.91,0,Chumbo+Amarelo,,,,0,0,
S,28368,124-0073-060-01,"Bicicleta Caloi Ben 10 Infantil - Aro 16",Bike,Bicicletas,0,0,Caloi,Verde,,"BIC. BEN10 ARO16 VERDE A14",7891401015471,0,0,,28368,81209007,"Bicicleta Caloi Ben 10 - Aro 16 - 2014 - Cor: Verde",Equipamentos,Bike,0,0,Caloi,Verde,,"BIC. BEN10 ARO16 VERDE A14",7891401015471,0,0,
S,28371,124-9568-014,"Bicicleta Caloi Sport Comfort - Aro 26 - Cor: Branco",Bike,Bicicletas,1019.15,1019.15,Caloi,Branco/Preto,,"Sport Comfort.",7891473014129,0,0,,28371,71614651,"Bicicleta Caloi Sport Comfort - C-bio Shimano - Aro 26 - Cor: BRANCO/PRETO",Equipamentos,Bike,1199.9,1139.91,Caloi,Branco/Preto,,"Sport Comfort.",7891473014129,0,0,
S,28373,287-0086-172-01,"Bicicleta Ergométrica Kikos KR 8.6","Fitness e Musculação","Bicicletas Ergométricas",0,0,Kikos,Cinza/Preto,,,,0,0,,28373,80423058,"Bicicleta Ergométrica Kikos KR 8.6 110 v - Cor: CINZA/PRETO",Equipamentos,Training,1769.9,1681.41,Kikos,Cinza/Preto,,,,0,0,
S,28381,004-2191-162-05,"Bola Nike França Prestige Campo",Futebol,BOLAS,0,0,Nike,"AZUL CLA/AZUL",,,,0,0,,28381,8010969X,"Bola de Futebol de Campo Nike França Prestige - Cor: AZUL CLA/AZUL",Acessorios,Futebol,99.9,94.91,Nike,"AZUL CLA/AZUL",,,,0,0,
S,28382,004-2116-026-05,"Bola Nike Manchester United Supporters Campo",Futebol,BOLAS,0,0,Nike,Preto/Branco,,,,0,0,,28382,79275031,"Bola de Futebol de Campo Nike Manchester United Supporters - Cor: PRETO/BRANCO",Acessorios,Futebol,69.9,66.41,Nike,Preto/Branco,,,,0,0,
S,28400,132-0655-024,"Calção Adidas Flamengo I 13/14 Infantil - Cor: Branco+Vermelho",Infantil,Calções,39.9,39.9,Adidas,Branco/Vermelho,,,,0,0,,28400,80825249,"Calção Adidas Flamengo I 2013 - Infantil - Cor: Branco/Vermelho",Vestuario,Futebol,39.9,37.91,Adidas,Branco/Vermelho,,,,0,0,
N,28409,123-4388-461,"Calção Nike Corinthians 13/14 Infantil - Cor: Creme",Infantil,Calções,69.9,69.9,Nike,"Marrom Cla/Preto",,,,0,0,,184632,82384202,"Calção Nike Corinthians III 2014 - Infantil - Cor: Preto",Vestuario,Futebol,99.9,94.91,,Preto,NULL,,,0,0,NULL
N,28415,132-1992-038,"Camisa Adidas Chelsea Third 13/14 s/nº Infantil - Cor: Preto+Prata",Infantil,"Camisas de Futebol",129.9,129.9,Adidas,Preto/Cinza,,,,0,0,,38819,80882931,"Camisa Penalty Vasco I - 2013 - s/n - Infantil - Cor: Preto/Branco",Vestuario,Futebol,0,0,Penalty,Preto/Branco,,,,0,0,
N,28417,132-2007-979,"Camisa Adidas CSKA Home 13/14 s/nº - Cor: Vermelho+Dourado",Futebol,"Camisas de Time",149.9,149.9,Adidas,Colorido,,,,0,0,,51785,81811006,"Camisa Adidas Seleção Espanha Home s/nº 2014 - Masculina - Cor: Vermelho",Vestuario,Futebol,129.9,123.41,Adidas,NULL,NULL,NULL,NULL,0,0,NULL
N,28419,132-2028-044,"Camisa Adidas Hamburgo Home 13/14 s/nº - Cor: Branco+Azul",Futebol,"Camisas de Time",0,0,Adidas,Prata+Azul,,,,0,0,,51784,81810941,"Camisa Adidas Seleção Argentina Home s/nº 2014 - Masculina - Cor: Branco/Azul Cla",Vestuario,Futebol,129.9,123.41,Adidas,NULL,NULL,NULL,NULL,0,0,NULL
N,28423,132-2017-040,"Camisa Adidas Fluminense I Goleiro 13/14 s/nº Infantil - Cor: Chumbo",Infantil,"Camisas de Futebol",169.9,169.9,Adidas,"Cinza Esc/Verde Cla",,,,0,0,,29346,8051366T,"Camisa Adidas Palmeiras I - 2013 - s/n - Infantil - Cor: Verde/Branco",Vestuario,Futebol,89.9,85.41,Adidas,VERDE/BRANCO,,,,0,0,
S,28427,004-1437-950,"Camisa Nike Barcelona Home 13/14 s/nº - Cor: Marinho+Vinho",Futebol,"Camisas de Time",129.9,129.9,Nike,"Azul Esc/Vinho",,,,0,0,,28427,810062HK,"Camisa Nike Barcelona Home - Masculina - Cor: Azul Esc/Vinho",Vestuario,Futebol,149.9,142.41,Nike,"Azul Esc/Vinho",,,,0,0,M
N,28474,123-3659-016,"Camiseta Nike Lmtles Futura - Cor: Vermelho",Casual,Camisetas,0,0,Nike,Vinho,,,,0,0,,190396,81030406,"Camiseta Nike Solid Sp Futura - Masculina - Cor: VERMELHO",Vestuario,Casual,59.9,56.91,,Vermelho,NULL,,,0,0,NULL
S,28475,004-1853-390,"Camiseta Nike Racer - Cor: Verde claro",Running,Camisetas,0,0,Nike,"Verde Claro",,,,0,0,,28475,8107933W,"Camiseta Nike Racer SS Top - Feminina - Cor: Verde Claro",Vestuario,"Running Performance",69.9,66.41,Nike,"Verde Claro",,,,0,0,F
S,28532,132-0242-407,"Chuteira Adidas F10 adiZero IN - Cor: Branco+Verde Limão",Futebol,Chuteiras,0,0,Adidas,"Branco/Verde Cla",,,,0,0,,28532,7843219O,"Chuteira de Futsal Adidas F10 Adizero In - Cor: BRANCO/VERDE CLA",Calcados,Futebol,149.9,142.41,Adidas,"Branco/Verde Cla",,,,0,0,
S,28584,004-4412-384-01,"Mochila Nike Kobe Baller",Basquete,MOCHILAS,0,0,Nike,ROXO/PRETO,,,,0,0,,28584,8064519A,"Mochila Nike Kobe Baller BA4414 - Cor: Roxo/Preto",Acessorios,Basquete,199.9,189.91,Nike,ROXO/PRETO,,,,0,0,
S,28585,025-1135-026-01,"Mochila Puma Ferrari Réplica - Cor: Preto+Branco",Automobilismo,MOCHILAS,0,0,Puma,Preto/Branco,,,,0,0,,28585,80633131,"Mochila Puma Ferrari Réplica - Cor: PRETO/BRANCO",Acessorios,Casual,229.9,218.41,Puma,Preto/Branco,,,,0,0,
N,28598,004-0369-010,"Camisa Polo Nike GS Standard - Cor: Cinza",Casual,"Camisas Polo",0,0,Nike,Colorido,,,,0,0,,181266,81031304,"Polo Nike GS Standard - Masculina - Cor: Azul",Vestuario,Casual,149.9,142.41,,Azul,NULL,,,0,0,NULL
S,28645,132-4029-030,"Tênis Adidas Adria Snowhite K Infantil - Cor: Amarelo",Infantil,Tênis,0,0,Adidas,AMARELO,,,,0,0,,28645,80242708,"Tênis Adidas Adria Snow White K - Infantil - Cor: AMARELO",Calcados,Casual,149.9,142.41,Adidas,AMARELO,,,,0,0,
N,28649,132-0570-338,"Tênis Adidas A.T. 120 - Cor: Pink","Fitness e Musculação",Tênis,0,0,Adidas,ROSA/BRANCO,,,,0,0,,29792,81524331,"Tênis Adidas A.T Speedcut Tr - Masculino - Cor: Preto/Branco",Calcados,"Running Performance",0,0,Adidas,Preto/Branco,,,,0,0,M
S,28662,132-0913-062,"Tênis Adidas Disney Cars 2 V2 CF Infantil - Cor: Vermelho+Amarelo",Infantil,Tênis,0,0,Adidas,VERMELHO/PRETO,,,,0,0,,28662,8132992V,"Tênis Adidas Disney Cars 2 V2 CF - Infantil - Cor: Vermelho/Preto",Calcados,Training,149.9,142.41,Adidas,VERMELHO/PRETO,,,,0,0,
S,28676,132-0787-044,"Tênis Adidas LK Trainer 5 Syn CF Infantil - Cor: Branco+Azul",Infantil,Tênis,0,0,Adidas,Branco/Azul,,,,0,0,,28676,80235252,"Tênis Adidas Lk Trainer 5 Syn Cf - Infantil - Cor: Branco/Azul",Calcados,Casual,0,0,Adidas,Branco/Azul,,,,0,0,
S,28818,025-4282-010,"Bermuda Puma Checked Cargo - Cor: Cinza",Casual,Bermudas,0,0,Puma,Preto,,,,0,0,,28818,80491403,"Bermuda Puma Checked Cargo - Masculina - Cor: CINZA",Vestuario,Casual,0,0,Puma,Preto,,,,0,0,M
N,28823,287-0087-026-01,"Bicicleta Ergométrica Kikos KV 8.7","Fitness e Musculação","Bicicletas Ergométricas",0,0,Kikos,Preto/Branco,,KV8.7i,7898947254975,0,0,,86607,80788503,"Bicicleta Ergométrica Kikos KV 10.0 - Cor: Cinza",Equipamentos,Training,6599.9,6269.91,Kikos,Preto,,KV10.0,7898933974887,0,0,
S,28826,132-6553-368-05,"Bola Adidas Espanha",Futebol,BOLAS,0,0,Adidas,"VERMELHO/AZUL ESC",,,,0,0,,28826,80079866,"Bola de Futebol de Campo Adidas Espanha - Cor: VERMELHO/AZUL ESC",Acessorios,Futebol,0,0,Adidas,"VERMELHO/AZUL ESC",,,,0,0,
S,28833,004-1291-954-01,"Bola Nike Inter de Milão",Futebol,BOLAS,0,0,Nike,Azul/Branco,,,,0,0,,28833,8103932R,"Bola de Futebol de Campo Nike Inter de Milão Supporters - Cor: Azul/Branco",Acessorios,Futebol,69.9,66.41,Nike,Azul/Branco,,,,0,0,
S,27846,073-2973-068,"Calção Adidas Entrada 12 - Cor: Vermelho+Preto",Futebol,Uniformes,44.9,44.9,Adidas,VERMELHO/PRETO,,,,0,0,,27846,7866942V,"Calção Adidas Entrada SS 12 - Masculino - Cor: VERMELHO/PRETO",Vestuario,Futebol,0,0,Adidas,VERMELHO/PRETO,,,,0,0,M
S,28870,004-1452-014,"Calção Nike Manchester United 13/14 - Cor: Branco",Futebol,Calções,99.9,99.9,Nike,Branco/Preto,,,,0,0,,28870,81012151,"Calção Nike Manchester United Gk - Adulto - Cor: Branco/Preto",Vestuario,Futebol,99.9,94.91,Nike,Branco/Preto,,,,0,0,
S,28881,132-0648-236,"Camisa Adidas Flamengo Goleiro II 13/14 s/nº M/C - Cor: Grafite+Laranja",Futebol,"Camisas de Time",129.9,129.9,Adidas,"CINZA ESC/LARANJ ESC",,,,0,0,,28881,808300WG,"Camisa Adidas Flamengo II GK - 2013 - s/n - Masculina - Cor: CINZA ESC/LARANJ ESC",Vestuario,Futebol,129.9,123.41,Adidas,"CINZA ESC/LARANJ ESC",,,,0,0,M
N,28882,073-7401-410,"Camisa Adidas Fluminense I 13/14 s/nº Infantil - Cor: Verde+Vinho",Infantil,"Camisas de Futebol",149.9,149.9,Adidas,VINHO/VERDE,,,,0,0,,29346,8051366T,"Camisa Adidas Palmeiras I - 2013 - s/n - Infantil - Cor: Verde/Branco",Vestuario,Futebol,89.9,85.41,Adidas,VERDE/BRANCO,,,,0,0,
N,28895,123-8431-056,"Camisa Nike Internacional I 13/14 s/nº Infantil - Cor: Vermelho+Branco",Infantil,"Camisas de Futebol",127.9,127.9,Nike,Vermelho/Branco,,,,0,0,,186265,8349053I,"Camisa Nike Internacional I 2014 s/nº - Infantil - Cor: Vermelho/Branco",Vestuario,Futebol,179.9,170.91,,Vermelho/Branco,NULL,,,0,0,NULL
S,28897,004-1476-012,"Camisa Nike Paris Saint-Germain Home 13/14 s/nº - Cor: Marinho",Futebol,"Camisas de Time",0,0,Nike,"Azul Esc/Branco",,,,0,0,,28897,81011462,"Camisa Nike Paris Saint-Germain Home – Masculina - Cor: Azul Esc/Branco",Vestuario,Futebol,0,0,Nike,"Azul Esc/Branco",,,,0,0,M
N,28901,025-4068-120,"Camisa Puma Botafogo II 12/13 s/nº Infantil - Cor: Preto+Dourado",Infantil,"Camisas de Futebol",34.9,34.9,Puma,Chumbo+Amarelo,,,,0,0,,87401,8267343L,"Camisa Puma Botafogo II s/nº 2014 - Masculina - Cor: Preto/Ouro",Vestuario,Futebol,199.9,189.91,,Preto/Ouro,NULL,,,0,0,NULL
S,28183,004-2236-028,"Camiseta Nike Speed Legend - Cor: Branco+Preto","Fitness e Musculação",Camisetas,0,0,Nike,Prata+Azul,,,,0,0,,28183,81040701,"Camiseta Nike Speed Legend SS Graphic - Masculina - Cor: Branco",Vestuario,Training,99.9,94.91,Nike,Prata+Azul,,,,0,0,M
S,28981,073-0028-312,"Jaqueta Adidas Woven F50 - Cor: Chumbo+Amarelo",Futebol,"Jaquetas e Casacos",0,0,Adidas,"Azul Esc/Amarelo",,,,0,0,,28981,8025453H,"Jaqueta Adidas Wov F50 SS13 - Cor: Azul Esc/Amarelo",Vestuario,Futebol,189.9,180.41,Adidas,"Azul Esc/Amarelo",,,,0,0,
S,28586,025-1135-056-01,"Mochila Puma Ferrari Réplica - Cor: Vermelho+Preto",Automobilismo,MOCHILAS,0,0,Puma,Vermelho/Branco,,,,0,0,,28586,8063313I,"Mochila Puma Ferrari Réplica - Cor: VERMELHO/BRANCO",Acessorios,Casual,229.9,218.41,Puma,Vermelho/Branco,,,,0,0,
S,28238,132-2342-028,"Tênis Adidas adiPower Barricade - Cor: Branco+Preto","Tennis e Squash",Tênis,0,0,Adidas,Branco/Preto,,,,0,0,,28238,78511251,"Tênis Adidas Adipower Barricade - Feminino - Cor: BRANCO/PRETO",Calcados,Tennis,259.9,246.91,Adidas,Branco/Preto,,,,0,0,F
S,29047,132-3971-124,"Tênis Adidas adiZero Crazy Light 2 - Cor: Marinho+Prata",Basquete,Tênis,229.9,229.9,Adidas,"AZUL ESC/CINZA",,,,0,0,,29047,80228273,"Tênis Adidas Adizero Crazy Light 2 - Masculino - Cor: AZUL ESC/CINZA",Calcados,Basquete,399.9,379.91,Adidas,"AZUL ESC/CINZA",,,,0,0,M
S,29074,132-3560-026,"Tênis Adidas Power Trainer Entry - Cor: Preto+Branco","Fitness e Musculação",Tênis,0,0,Adidas,Preto/Vermelho,,,,0,0,,29074,80028019,"Tênis Adidas Power Trainer Entry - Masculino - Cor: PRETO/VERMELHO",Calcados,Training,0,0,Adidas,Preto/Vermelho,,,,0,0,M
N,29092,004-2201-937,"Tênis Nike Flex Experience Infantil - Cor: Preto+Pink",Infantil,Tênis,0,0,Nike,"Cinza Esc/Rosa",,,,0,0,,89667,82291932,"Tênis Nike Flex Experience - Infantil - Cor: Preto/Cinza",Calcados,Training,179.9,170.91,,Preto/Cinza,NULL,,,0,0,NULL
N,27979,004-7888-790,"Tênis Nike Flyknit Lunar 1+ - Cor: Musgo",Running,"Tênis Performance",344.9,344.9,Nike,Verde/Cinza,,,,0,0,,89689,82189974,"Tênis Nike Flyknit Lunar2 - Masculino - Cor: Cinza/Branco",Calcados,"Running Performance",699.99,664.99,,CINZA/BRANCO,NULL,,,0,0,NULL
S,29113,004-2381-450,"Tênis Nike Lunarglide+ 5 - Cor: Verde Limão+Preto",Running,"Tênis Performance",349.9,349.9,Nike,"Verde Claro/Preto",,,,0,0,,29113,810089QK,"Tênis Nike Lunarglide 5 - Masculino - Cor: Verde Claro/Preto",Calcados,"Running Performance",0,0,Nike,"Verde Claro/Preto",,,,0,0,M
N,29120,004-2386-362,"Tênis Nike Air Pegasus+ 30 - Cor: Chumbo+Pink",Running,"Tênis Performance",249.9,249.9,Nike,"Rosa/Verde Cla",,,,0,0,,185210,80975665,"Tênis Nike Air Pegasus+ 30 - Masculino - Cor: Azul/Laranja",Calcados,"Running Performance",299.9,284.91,,Azul/Laranja,NULL,,,0,0,NULL
N,27905,004-0563-489,"Tênis Nike Zoom Vomero+ 8 - Cor: Marinho+Verde Limão",Running,"Tênis Performance",0,0,Nike,"VERDE CLA/AZUL",,,,0,0,,85535,803830CT,"Tênis Nike Zoom Vomero+ 8 - Masculino - Cor: Preto/Verde Cla",Calcados,"Running Performance",379.9,360.91,,"Preto/Verde Cla",NULL,,,0,0,NULL
S,27920,123-6155-431,"Bermuda Nike Colorblock 3 - Cor: Rosa+Grafite","Fitness e Musculação",Bermudas,0,0,Nike,"Rosa/Azul Esc",,,,0,0,,27920,776246N0,"Bermuda Nike Colorblock III - Feminina - Cor: Rosa/Azul Esc",Vestuario,Training,89.9,85.41,Nike,"Rosa/Azul Esc",,,,0,0,F
S,29296,124-0013-006,"Bicicleta Caloi Supra 20 - Aro 26 - Cor: Preto",Bike,Bicicletas,1529.15,1529.15,Caloi,Chumbo+Amarelo,,,,0,0,,29296,80291302,"Bicicleta Caloi Supra 20 - Quadro em Alumínio - Com Freio a Disco - 24V - Aro 26 - Cor: PRETO",Equipamentos,Bike,0,0,Caloi,Chumbo+Amarelo,,,,0,0,
