match,sku,titulo,departamento,categoria,preco,preco_oferta,meta_fabricante,cor,meta_tamanho,mpn,gtin,meta_peso,meta_volume,meta_genero
28260,025-1429-050,Tênis Puma Zanthem S Lite - Cor: Preto+Laranja,Casual,Tênis,0,0,Puma,Chumbo+Amarelo,,,,0,0,
28366,124-9010-010-26,Bicicleta Caloi 300 Sport - Aro 26,Bike,Bicicletas,764.15,764.15,Caloi,Azul escuro,,7693.19003,7891473015645,0,0,
28368,124-0073-060-01,Bicicleta Caloi Ben 10 Infantil - Aro 16,Bike,Bicicletas,0,0,Caloi,Verde,,BIC. BEN10 ARO16 VERDE A14,7891401015471,0,0,
28371,124-9568-014,Bicicleta Caloi Sport Comfort - Aro 26 - Cor: Branco,Bike,Bicicletas,1019.15,1019.15,Caloi,Branco/Preto,,Sport Comfort.,7891473014129,0,0,
28373,287-0086-172-01,Bicicleta Ergométrica Kikos KR 8.6,Fitness e Musculação,Bicicletas Ergométricas,0,0,Kikos,Cinza/Preto,,,,0,0,
28381,004-2191-162-05,Bola Nike França Prestige Campo,Futebol,BOLAS,0,0,Nike,AZUL CLA/AZUL,,,,0,0,
28382,004-2116-026-05,Bola Nike Manchester United Supporters Campo,Futebol,BOLAS,0,0,Nike,Preto/Branco,,,,0,0,
28400,132-0655-024,Calção Adidas Flamengo I 13/14 Infantil - Cor: Branco+Vermelho,Infantil,Calções,39.9,39.9,Adidas,Branco/Vermelho,,,,0,0,
28409,123-4388-461,Calção Nike Corinthians 13/14 Infantil - Cor: Creme,Infantil,Calções,69.9,69.9,Nike,Marrom Cla/Preto,,,,0,0,
28415,132-1992-038,Camisa Adidas Chelsea Third 13/14 s/nº Infantil - Cor: Preto+Prata,Infantil,Camisas de Futebol,129.9,129.9,Adidas,Preto/Cinza,,,,0,0,
28417,132-2007-979,Camisa Adidas CSKA Home 13/14 s/nº - Cor: Vermelho+Dourado,Futebol,Camisas de Time,149.9,149.9,Adidas,Colorido,,,,0,0,
28419,132-2028-044,Camisa Adidas Hamburgo Home 13/14 s/nº - Cor: Branco+Azul,Futebol,Camisas de Time,0,0,Adidas,Prata+Azul,,,,0,0,
28423,132-2017-040,Camisa Adidas Fluminense I Goleiro 13/14 s/nº Infantil - Cor: Chumbo,Infantil,Camisas de Futebol,169.9,169.9,Adidas,Cinza Esc/Verde Cla,,,,0,0,
28427,004-1437-950,Camisa Nike Barcelona Home 13/14 s/nº - Cor: Marinho+Vinho,Futebol,Camisas de Time,129.9,129.9,Nike,Azul Esc/Vinho,,,,0,0,
28474,123-3659-016,Camiseta Nike Lmtles Futura - Cor: Vermelho,Casual,Camisetas,0,0,Nike,Vinho,,,,0,0,
28475,004-1853-390,Camiseta Nike Racer - Cor: Verde claro,Running,Camisetas,0,0,Nike,Verde Claro,,,,0,0,
28532,132-0242-407,Chuteira Adidas F10 adiZero IN - Cor: Branco+Verde Limão,Futebol,Chuteiras,0,0,Adidas,Branco/Verde Cla,,,,0,0,
28584,004-4412-384-01,Mochila Nike Kobe Baller,Basquete,MOCHILAS,0,0,Nike,ROXO/PRETO,,,,0,0,
28585,025-1135-026-01,Mochila Puma Ferrari Réplica - Cor: Preto+Branco,Automobilismo,MOCHILAS,0,0,Puma,Preto/Branco,,,,0,0,
28598,004-0369-010,Camisa Polo Nike GS Standard - Cor: Cinza,Casual,Camisas Polo,0,0,Nike,Colorido,,,,0,0,
28645,132-4029-030,Tênis Adidas Adria Snowhite K Infantil - Cor: Amarelo,Infantil,Tênis,0,0,Adidas,AMARELO,,,,0,0,
28649,132-0570-338,Tênis Adidas A.T. 120 - Cor: Pink,Fitness e Musculação,Tênis,0,0,Adidas,ROSA/BRANCO,,,,0,0,
28662,132-0913-062,Tênis Adidas Disney Cars 2 V2 CF Infantil - Cor: Vermelho+Amarelo,Infantil,Tênis,0,0,Adidas,VERMELHO/PRETO,,,,0,0,
28676,132-0787-044,Tênis Adidas LK Trainer 5 Syn CF Infantil - Cor: Branco+Azul,Infantil,Tênis,0,0,Adidas,Branco/Azul,,,,0,0,
28818,025-4282-010,Bermuda Puma Checked Cargo - Cor: Cinza,Casual,Bermudas,0,0,Puma,Preto,,,,0,0,
28823,287-0087-026-01,Bicicleta Ergométrica Kikos KV 8.7,Fitness e Musculação,Bicicletas Ergométricas,0,0,Kikos,Preto/Branco,,KV8.7i,7898947254975,0,0,
28826,132-6553-368-05,Bola Adidas Espanha,Futebol,BOLAS,0,0,Adidas,VERMELHO/AZUL ESC,,,,0,0,
28833,004-1291-954-01,Bola Nike Inter de Milão,Futebol,BOLAS,0,0,Nike,Azul/Branco,,,,0,0,
27846,073-2973-068,Calção Adidas Entrada 12 - Cor: Vermelho+Preto,Futebol,Uniformes,44.9,44.9,Adidas,VERMELHO/PRETO,,,,0,0,
28870,004-1452-014,Calção Nike Manchester United 13/14 - Cor: Branco,Futebol,Calções,99.9,99.9,Nike,Branco/Preto,,,,0,0,
28881,132-0648-236,Camisa Adidas Flamengo Goleiro II 13/14 s/nº M/C - Cor: Grafite+Laranja,Futebol,Camisas de Time,129.9,129.9,Adidas,CINZA ESC/LARANJ ESC,,,,0,0,
28882,073-7401-410,Camisa Adidas Fluminense I 13/14 s/nº Infantil - Cor: Verde+Vinho,Infantil,Camisas de Futebol,149.9,149.9,Adidas,VINHO/VERDE,,,,0,0,
28895,123-8431-056,Camisa Nike Internacional I 13/14 s/nº Infantil - Cor: Vermelho+Branco,Infantil,Camisas de Futebol,127.9,127.9,Nike,Vermelho/Branco,,,,0,0,
28897,004-1476-012,Camisa Nike Paris Saint-Germain Home 13/14 s/nº - Cor: Marinho,Futebol,Camisas de Time,0,0,Nike,Azul Esc/Branco,,,,0,0,
28901,025-4068-120,Camisa Puma Botafogo II 12/13 s/nº Infantil - Cor: Preto+Dourado,Infantil,Camisas de Futebol,34.9,34.9,Puma,Chumbo+Amarelo,,,,0,0,
28183,004-2236-028,Camiseta Nike Speed Legend - Cor: Branco+Preto,Fitness e Musculação,Camisetas,0,0,Nike,Prata+Azul,,,,0,0,
28981,073-0028-312,Jaqueta Adidas Woven F50 - Cor: Chumbo+Amarelo,Futebol,Jaquetas e Casacos,0,0,Adidas,Azul Esc/Amarelo,,,,0,0,
28586,025-1135-056-01,Mochila Puma Ferrari Réplica - Cor: Vermelho+Preto,Automobilismo,MOCHILAS,0,0,Puma,Vermelho/Branco,,,,0,0,
28238,132-2342-028,Tênis Adidas adiPower Barricade - Cor: Branco+Preto,Tennis e Squash,Tênis,0,0,Adidas,Branco/Preto,,,,0,0,
29047,132-3971-124,Tênis Adidas adiZero Crazy Light 2 - Cor: Marinho+Prata,Basquete,Tênis,229.9,229.9,Adidas,AZUL ESC/CINZA,,,,0,0,
29074,132-3560-026,Tênis Adidas Power Trainer Entry - Cor: Preto+Branco,Fitness e Musculação,Tênis,0,0,Adidas,Preto/Vermelho,,,,0,0,
29092,004-2201-937,Tênis Nike Flex Experience Infantil - Cor: Preto+Pink,Infantil,Tênis,0,0,Nike,Cinza Esc/Rosa,,,,0,0,
27979,004-7888-790,Tênis Nike Flyknit Lunar 1+ - Cor: Musgo,Running,Tênis Performance,344.9,344.9,Nike,Verde/Cinza,,,,0,0,
29113,004-2381-450,Tênis Nike Lunarglide+ 5 - Cor: Verde Limão+Preto,Running,Tênis Performance,349.9,349.9,Nike,Verde Claro/Preto,,,,0,0,
29120,004-2386-362,Tênis Nike Air Pegasus+ 30 - Cor: Chumbo+Pink,Running,Tênis Performance,249.9,249.9,Nike,Rosa/Verde Cla,,,,0,0,
27905,004-0563-489,Tênis Nike Zoom Vomero+ 8 - Cor: Marinho+Verde Limão,Running,Tênis Performance,0,0,Nike,VERDE CLA/AZUL,,,,0,0,
27920,123-6155-431,Bermuda Nike Colorblock 3 - Cor: Rosa+Grafite,Fitness e Musculação,Bermudas,0,0,Nike,Rosa/Azul Esc,,,,0,0,
29296,124-0013-006,Bicicleta Caloi Supra 20 - Aro 26 - Cor: Preto,Bike,Bicicletas,1529.15,1529.15,Caloi,Chumbo+Amarelo,,,,0,0,
29299,132-1892-016-01,Bola Adidas Bayern de Munique Campo,Futebol,BOLAS,0,0,Adidas,Colorido,,,,0,0,
29303,004-1270-954-01,Bola Nike Juventus,Futebol,BOLAS,0,0,Nike,AMARELO,,,,0,0,
27924,073-5839-026,Camisa Adidas Campeon 13 - Cor: Preto+Branco,Futebol,Uniformes,0,0,Adidas,Preto/Branco,,,,0,0,
29343,132-0599-068,Camisa Adidas Flamengo I 13/14 s/nº - Cor: Vermelho+Preto,Futebol,Camisas de Time,0,0,Adidas,VERMELHO/PRETO,,,,0,0,
29346,073-7376-054,Camisa Adidas Palmeiras I 13/14 s/nº Infantil - Cor: Verde+Branco,Infantil,Camisas de Futebol,59.9,59.9,Adidas,VERDE/BRANCO,,,,0,0,
29352,004-1455-074,Camisa Nike Arsenal Away 13/14 s/nº - Cor: Amarelo+Azul,Futebol,Camisas de Time,0,0,Nike,AMARELO/AZUL,,,,0,0,
29355,004-1454-936,Camisa Nike Inter de Milão Away 13/14 s/nº - Cor: Branco+Azul Royal,Futebol,Camisas de Time,0,0,Nike,Branco/Azul,,,,0,0,
27856,123-8573-014,Camiseta Nike Entry Level Top - Cor: Branco,Running,Camisetas,0,0,Nike,Prata+Azul,,,,0,0,
27937,123-7635-014,Camiseta Nike Eternity Time Crew - Cor: Branco,Casual,Camisetas,0,0,Nike,Prata+Azul,,,,0,0,
27948,025-0436-274,Caneleira Puma Universal - Cor: Amarelo+Preto,Futebol,Caneleiras,0,0,Puma,AMARELO/PRETO,,,,0,0,
29410,132-2235-206,Chuteira Adidas F10 TRX SG - Cor: Laranja+Preto,Futebol,Chuteiras,0,0,Adidas,LARANJA ESC/PRETO,,,,0,0,
28522,004-3871-941,Chuteira Nike Mercurial Vortex FG-R Infantil - Cor: Pink+Roxo,Futebol,Chuteiras,84.9,84.9,Nike,Rosa/Verde Cla,,,,0,0,
28133,004-0911-450,Chuteira Nike Mercurial Vortex IC - Cor: Verde Limão+Preto,Futebol,Chuteiras,114.9,114.9,Nike,Verde Cla/Laranja,,,,0,0,
28059,025-1592-024,Chuteira Puma Evospeed 5.2 IT - Cor: Branco+Vermelho,Futebol,Chuteiras,149.9,149.9,Puma,Branco/Cinza Esc,,,,0,0,
29446,004-1296-068-01,Minibola Nike Manchester United Skills,Futebol,BOLAS,0,0,Nike,VERMELHO/PRETO,,,,0,0,
29453,004-4621-844-01,Mochila Nike CR7 Cheyenne Classic,Futebol,MOCHILAS,0,0,Nike,Azul Esc/Verde Cla,,,,0,0,
28239,132-3755-900,Tênis Adidas adiPower Barricade - Cor: Branco+Verde Água,Tennis e Squash,Tênis,0,0,Adidas,Branco/Verde,,,,0,0,
29491,132-0176-997,Tênis Adidas adiZero Boston 4 - Cor: Roxo+Rosa,Running,Tênis Performance,249.9,249.9,Adidas,Roxo,,,,0,0,
29512,132-2793-068,Tênis Adidas F50 Adizero CF Infantil - Cor: Vermelho+Preto,Infantil,Tênis,0,0,Adidas,LARANJA ESC/PRETO,,,,0,0,
29513,132-2793-833,Tênis Adidas F50 Adizero CF Infantil - Cor: Verde Limão,Infantil,Tênis,0,0,Adidas,VERDE CLA/AZUL ESC,,,,0,0,
29072,132-1314-040,Tênis Adidas Porsche GT Cup - Cor: Chumbo,Casual,Tênis,299.9,299.9,Adidas,Cinza Escuro,,,,0,0,
29529,132-0389-981,Tênis Adidas Supernova Sequence 6 - Cor: Lilás+Rosa,Running,Tênis Performance,0,0,Adidas,Azul Esc/Rosa,,,,0,0,
27978,004-7888-068,Tênis Nike Flyknit Lunar 1+ - Cor: Vermelho+Preto,Running,Tênis Performance,344.9,344.9,Nike,Laranja Esc/Branco,,,,0,0,
29136,025-1431-006,Tênis Puma Glyde TC Animal - Cor: Preto,Casual,Tênis,0,0,Puma,Preto/Rosa,,,,0,0,
29626,124-0072-306-01,Bicicleta Caloi Barbie Infantil - Aro 16,Bike,Bicicletas,0,0,Caloi,Rosa,,BIC.BARBIE16 ROSA/BRANCO A14,7891401015495,0,0,
29627,124-9954-028,Bicicleta Caloi Elite 20 - Aro 29 - Cor: Branco+Preto,Bike,Bicicletas,0,0,Caloi,Preto/Branco,,,,0,0,
29628,124-9951-028,Bicicleta Caloi Elite 30 - Aro 29 - Cor: Branco+Preto,Bike,Bicicletas,0,0,Caloi,Preto/Branco,,,,0,0,
29631,004-1898-040,Blusão Nike CBD Best LS Crew - Cor: Chumbo,Futebol,Jaquetas e Casacos,0,0,Nike,Chumbo+Amarelo,,,,0,0,
29637,004-1258-310-05,Bola Nike Brasil Supporters Campo,Futebol,BOLAS,0,0,Nike,Azul/Branco,,,,0,0,
28010,073-2198-014,Bermuda Adidas Chelsea Essentials - Cor: Branco,Fitness e Musculação,Bermudas,0,0,Adidas,Prata+Azul,,,,0,0,
29656,132-2440-032,Calção Adidas Milan 13/14 Infantil - Cor: Branco+dourado,Infantil,Calções,49.9,49.9,Adidas,BRANCO/OURO,,,,0,0,
29673,073-7504-410,Camisa Feminina Adidas Fluminense I 13/14 s/nº - Cor: Verde+Vinho,Futebol,Camisas de Time,149.9,149.9,Adidas,VINHO/VERDE,,,,0,0,F
29675,132-2042-216,Camisa Adidas Lyon Third 13/14 s/nº - Cor: Marinho+Vermelho,Futebol,Camisas de Time,0,0,Adidas,Azul escuro,,,,0,0,
29676,073-1903-164,Camisa Adidas Olympique de Marseille Home 12/13 s/nº - Cor: Branco+Azul Claro,Futebol,Camisas de Time,0,0,Adidas,Branco/Azul,,,,0,0,
29685,004-2651-024,Camisa Nike Manchester United Away 12/13 s/nº Infantil - Premier League - Cor: Branco+Vermelho,Infantil,Camisas de Futebol,0,0,Nike,Branco/Vermelho,,,,0,0,
29688,004-1477-024,Camisa Nike Paris Saint-Germain Away 13/14 s/nº - Cor: Branco+Vermelho,Futebol,Camisas de Time,0,0,Nike,Branco/Azul Esc,,,,0,0,
29691,025-8604-032,Camisa Puma Botafogo III 12/13 s/nº Infantil - Cor: Branco+dourado,Infantil,Camisas de Futebol,0,0,Puma,Branco/Preto,,,,0,0,
28482,004-0507-010,Camiseta Nike Solid SP Futura - Cor: Cinza,Casual,Camisetas,0,0,Nike,Preto,,,,0,0,
29414,004-0969-437,Chuteira Nike Hypervenom Phade FG-R Infantil - Cor: Preto+Salmão,Infantil,Chuteiras,119.9,119.9,Nike,Cinza Escuro,,,,0,0,
28609,123-3065-026,Camisa Polo Nike UV - Cor: Preto+Branco,Tennis e Squash,Camisas Polo,0,0,Nike,Chumbo+Amarelo,,,,0,0,
29792,132-1780-026,Tênis Adidas AT Speedcut TR - Cor: Preto+Branco,Fitness e Musculação,Tênis,209.9,209.9,Adidas,Preto/Branco,,,,0,0,
28648,132-0570-040,Tênis Adidas A.T. 120 - Cor: Chumbo,Fitness e Musculação,Tênis,0,0,Adidas,Cinza Esc/Rosa,,,,0,0,
29795,132-0058-044,Tênis Adidas Barricade Team 3 - Cor: Branco+Azul,Tennis e Squash,Tênis,0,0,Adidas,Branco/Azul,,,,0,0,
29801,132-2807-939,Tênis Adidas LK Trainer 5 NBK CF Infantil - Cor: Pink+Branco,Infantil,Tênis,0,0,Adidas,Rosa,,,,0,0,
29804,132-0340-300,Tênis Adidas Sonic Boost - Cor: Marinho+Laranja,Running,Tênis Performance,299.9,299.9,Adidas,Azul Esc/Laranja Esc,,,,0,0,
30056,004-1389-028,Calção Nike Academy Knit - Cor: Branco+Preto,Futebol,Uniformes,79.9,79.9,Nike,Branco/Preto,,,,0,0,
30057,025-0059-026-01,Mala Puma Ferrari Réplica Medium - Cor: Preto+Branco,Automobilismo,MOCHILAS,0,0,Puma,Chumbo+Amarelo,,,,0,0,
30058,004-1911-166-05,Bola Nike Team Training Campo - Cor: Amarelo,Futebol,BOLAS,49.9,49.9,Nike,AMARELO,,,,0,0,
30062,004-0574-860,Camiseta Regata Nike Ego Sculpt - Cor: Vermelho Claro,Fitness e Musculação,Camisetas,0,0,Nike,Rosa,,,,0,0,
30072,123-3106-056,Calção Nike Internacional 13/14 - Cor: Vermelho+Branco,Futebol,Calções,99.9,99.9,Nike,Vermelho/Branco,,,,0,0,
30112,124-9009-018-70,Bicicleta Caloi Easy Rider - Aro 700,Bike,Bicicletas,0,0,Caloi,Rosa,,769.919.009,7891473015577,0,0,
30119,004-2119-044-01,Bola Nike CTR360 Volo Campo - Cor: Branco+Azul,Futebol,BOLAS,0,0,Nike,Branco/Azul,,,,0,0,
30187,123-0958-024,Calção Nike Seleção Inglaterra 2013 - Cor: Branco+Vermelho,Futebol,Calções,79.9,79.9,Nike,Branco/Vermelho,,,,0,0,
30206,132-2057-284,Camisa Adidas Milan Third 13/14 s/nº - Cor: Dourado+Preto,Futebol,Camisas de Time,0,0,Adidas,OURO/PRETO,,,,0,0,
30209,132-1987-038,Camisa Adidas Chelsea Third 13/14 s/nº - Cor: Preto+Prata,Futebol,Camisas de Time,0,0,Adidas,Preto/Cinza,,,,0,0,
30210,132-2008-044,Camisa Adidas CSKA Away 13/14 s/nº - Cor: Branco+Azul,Futebol,Camisas de Time,0,0,Adidas,Branco/Azul,,,,0,0,
30211,073-7418-394,Camisa Adidas Fluminense II 13/14 s/nº Infantil - Cor: Vinho+Branco,Infantil,Camisas de Futebol,119.9,119.9,Adidas,Branco/Vinho,,,,0,0,
30212,073-0096-134,Camisa Adidas Fluminense II 13/14 s/nº - Cor: Branco+Vinho,Futebol,Camisas de Time,119.9,119.9,Adidas,Branco/Vinho,,,,0,0,
30217,132-2058-284,Camisa Adidas Milan Third 13/14 s/nº Infantil - Cor: Dourado+Preto,Infantil,Camisas de Futebol,129.9,129.9,Adidas,OURO/PRETO,,,,0,0,
30233,004-1438-399,Camisa Nike Barcelona Away 13/14 s/nº - Cor: Amarelo+Vermelho,Futebol,Camisas de Time,149.9,149.9,Nike,Amarelo/Azul Escuro,,,,0,0,
30238,123-7929-068,Camisa Feminina Nike Manchester United Home 12/13 s/nº - Cor: Vermelho+Preto,Futebol,Camisas de Time,0,0,Nike,VERMELHO/PRETO,,,,0,0,F
30251,073-3501-310,Camiseta Adidas Crew ESS - Cor: Azul Royal,Fitness e Musculação,Camisetas,54.9,54.9,Adidas,Azul/Branco,,,,0,0,
30287,123-3938-016,Camiseta Nike Internacional Basic Crest - Cor: Vermelho,Futebol,Camisetas,0,0,Nike,Colorido,,,,0,0,
30304,123-3407-014,Camiseta Regata Nike Power - Cor: Branco,Tennis e Squash,Camisetas,59.9,59.9,Nike,Prata+Azul,,,,0,0,
30366,004-3036-450,Chuteira Nike CTR360 Enganche 3 FG Infantil - Cor: Verde Limão+Preto,Infantil,Chuteiras,44.9,44.9,Nike,Verde Claro/Preto,,,,0,0,
30391,132-5408-860,Chuteira Adidas F5 IN - Cor: Vermelho Claro,Futebol,Chuteiras,0,0,Adidas,Laranja Esc/Branco,,,,0,0,
30396,132-2507-260,Chuteira Adidas Predito LZ IN - Cor: Verde+Preto,Futebol,Chuteiras,0,0,Adidas,Verde/Preto,,,,0,0,
30398,004-7626-451,Chuteira Nike 5 Beco - Cor: Preto+Verde Limão,Futebol,Chuteiras,0,0,Nike,Preto/Verde Cla,,,,0,0,
30411,004-3874-042,Chuteira Nike Mercurial Vortex IC - Cor: Laranja,Futebol,Chuteiras,0,0,Nike,Laranja/Verde Cla,,,,0,0,
30471,132-6584-068-01,Sacola Adidas Ginástica F50 - Cor: Laranja+Preto,Futebol,Sacolas,0,0,Adidas,LARANJA ESCURO,,,,0,0,
30472,004-1355-006-01,Sacola Nike Allegiance Corinthians 2.0,Futebol,Sacolas,49.9,49.9,Nike,Chumbo+Amarelo,,,,0,0,
30539,004-1613-016,Camisa Polo Nike Internacional Authentic GS - Cor: Vermelho,Futebol,Camisas Polo,0,0,Nike,Colorido,,,,0,0,
30546,004-0616-014,Camisa Polo Nike Sphere - Cor: Branco,Tennis e Squash,Camisas Polo,69.9,69.9,Nike,Branco/Preto,,,,0,0,
30553,123-3065-028,Camisa Polo Nike UV - Cor: Branco+Preto,Tennis e Squash,Camisas Polo,69.9,69.9,Nike,Prata+Azul,,,,0,0,
30568,025-5168-020-01,Relógio Puma Wheel Chrono,Casual,Relógios,0,0,Puma,Rosa/Prata,,,,0,0,
30577,004-3223-006,Short Nike Rival 2 pol. - Cor: Preto,Running,Shorts,69.9,69.9,Nike,Chumbo+Amarelo,,,,0,0,
30601,132-2833-080,Tênis Adidas Cleaser Syn CF Infantil - Cor: Branco+Marinho,Infantil,Tênis,0,0,Adidas,Branco/Azul Esc,,,,0,0,
30602,132-2799-805,Tênis Adidas Cleaser Syn CF Infantil - Cor: Branco+Pink,Infantil,Tênis,79.9,79.9,Adidas,BRANCO/ROSA,,,,0,0,
30614,132-2886-411,Tênis Adidas Duramo 5 K Infantil - Cor: Pink+Azul,Infantil,Tênis,0,0,Adidas,Rosa/Azul Esc,,,,0,0,
30621,132-1114-204,Tênis Adidas Energy Boost - Cor: Violeta,Running,Tênis Performance,499.9,499.9,Adidas,Rosa,,,,0,0,
30622,132-1114-198,Tênis Adidas Energy Boost - Cor: Roxo,Running,Tênis Performance,499.9,499.9,Adidas,Roxo Esc/Prata,,,,0,0,
30625,132-4392-987,Tênis Adidas Energy Boost - Cor: Chumbo+Cinza,Running,Tênis Performance,499.9,499.9,Adidas,Chumbo+Amarelo,,,,0,0,
30642,132-0780-026,Tênis Adidas LK Trainer 5 Syn K Infantil - Cor: Preto+Branco,Infantil,Tênis,0,0,Adidas,Preto/Branco,,,,0,0,
30649,132-0138-118,Tênis Adidas Terrex Swift R - Cor: Preto+Azul,Aventura,Tênis,0,0,Adidas,Azul/Preto,,,,0,0,
30650,132-0138-006,Tênis Adidas Terrex Swift R - Cor: Preto,Aventura,Tênis,0,0,Adidas,Chumbo+Amarelo,,,,0,0,
30688,004-4887-018,Tênis Nike Flyknit Lunar 1+ - Cor: Rosa,Running,Tênis Performance,0,0,Nike,ROXO/PRETO,,,,0,0,
30690,004-4887-451,Tênis Nike Flyknit Lunar 1+ - Cor: Preto+Verde Limão,Running,Tênis Performance,344.9,344.9,Nike,Verde Claro/Preto,,,,0,0,
30755,025-1454-256,Tênis Puma Benecio LO Elastic Canvas - Cor: Preto+Marrom,Casual,Tênis,0,0,Puma,Chumbo+Amarelo,,,,0,0,
30769,025-6688-833,Tênis Puma Mobium Runner Elite - Cor: Verde Limão,Running,Tênis Performance,249.9,249.9,Puma,Verde Claro/Preto,,,,0,0,
30790,132-1671-198,Top Adidas Print Gráfica Workout - Cor: Roxo,Fitness e Musculação,Tops,0,0,Adidas,Roxo,,,,0,0,
